ID,Pop,Area,GDP,Density,Prov,City,Name,J25,J26,J27,J28,J29,J30,J31,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,memo1,memo2,
4,300,124000,1664,413.3333333,湖北,荆门,荆门市市辖区,21,38,90,114,142,191,227,251,329,345,400,422,508,553,588,663,641,-22,新增12例,数值却是641
7,254,9861,1235,38.82283465,湖北,咸宁,咸宁市市辖区,0,43,64,91,112,130,166,206,246,296,348,384,399,443,476,493,507,14,,
9,341,236000,1748,692.0821114,湖北,十堰,十堰市市辖区,5,20,40,65,88,119,150,177,212,256,291,318,353,395,438,467,481,14,,
15,156,2538,719,16.26923077,湖北,仙桃,仙桃市,10,11,12,27,32,55,90,97,140,169,188,225,265,307,359,379,416,37,,
14,161,2622,591,16.28571429,湖北,天门,天门市,3,5,13,23,34,44,67,82,99,115,117,128,138,163,179,197,217,20,,
13,402,24111,871,59.97761194,湖北,恩施州,恩施市,10,17,25,38,51,66,75,87,105,111,123,138,144,157,160,171,187,16,,
68,885,18925,2388,21.38418079,河南,信阳,信阳市市辖区,5,22,23,29,32,42,49,70,88,99,112,138,164,176,192,205,220,15,,
19,1303,1997,24222,1.532617038,广东,深圳,深圳市,20,31,36,49,80,98,134,170,207,245,271,289,316,339,354,366,369,3,,
20,1490,7434,22859,4.989261745,广东,广州,广州市市辖区,14,17,41,51,63,94,112,150,179,200,224,232,270,285,301,307,314,7,,
128,809,11445,7823,14.14709518,安徽,合肥,合肥市市辖区,10,13,13,16,29,39,50,59,59,75,81,93,104,115,128,136,147,11,,
42,612,10050,4875,16.42156863,浙江,台州,台州市市辖区,20,21,22,22,40,64,81,95,100,109,115,122,124,129,133,138,141,3,,
69,1001,26509,3567,26.48251748,河南,南阳,南阳市市辖区,8,15,19,26,31,51,61,66,62,84,99,107,111,118,128,133,134,1,,
67,1014,7446,10143,7.343195266,河南,郑州,郑州市市辖区,6,20,29,37,40,46,50,56,65,72,85,92,102,112,120,126,130,4,,
325,951.5,53100,6300.5,55.80662112,黑龙江,哈尔滨,哈尔滨市市辖区,6,8,8,10,11,13,18,25,34,45,63,73,82,94,100,114,128,14,,
139,381,5925,1550,15.5511811,安徽,蚌埠,蚌埠市市辖区,1,1,3,3,3,8,15,16,26,37,43,48,64,88,99,115,126,11,,
129,1071,10118,1760,9.447245565,安徽,阜阳,阜阳市市辖区,7,10,10,21,23,28,38,47,59,65,79,84,95,105,113,118,125,7,,
53,568,15019,3411,26.44190141,湖南,岳阳,岳阳市市辖区,5,6,7,17,26,29,37,45,53,70,83,89,93,107,111,115,124,9,,
53,568,15019,3411,26.44190141,湖南,岳阳,岳阳县,5,6,7,17,26,29,37,45,53,70,83,89,93,107,111,115,124,9,,
71,805.18,15083,2370.32,18.73245734,河南,驻马店,驻马店市市辖区,2,7,9,10,16,25,30,40,46,58,72,82,98,106,113,116,123,7,,
173,1633,14335,15342.77,8.778322107,四川,成都,,16,22,33,37,46,59,69,72,73,77,87,92,97,102,109,120,123,3,,
165,118.07,3178,1108.51,26.91623613,江西,新余,新余市市辖区,1,1,3,3,11,11,28,40,43,50,59,69,78,87,95,100,105,5,,
167,781,22800,2212.8,29.19334187,江西,上饶,上饶市市辖区,2,6,6,7,9,11,12,16,19,32,50,69,78,86,92,98,103,5,,
167,781,22800,2212.8,29.19334187,江西,上饶,上饶县,2,6,6,7,9,11,12,16,19,32,50,69,78,86,92,98,103,5,,
162,489.68,18823,2700.19,38.43938899,江西,九江,九江市市辖区,2,2,4,9,16,31,42,43,55,64,78,86,92,95,97,100,101,1,,
162,489.68,18823,2700.19,38.43938899,江西,九江,九江县,2,2,4,9,16,31,42,43,55,64,78,86,92,95,97,100,101,1,,
90,164,3457,966,21.07926829,重庆,万州区,,10,13,14,15,17,24,29,39,44,50,60,65,70,74,78,85,98,13,,
297,1000.37,10752,8349.86,10.74802323,陕西,西安,西安市市辖区,5,8,12,15,18,22,32,39,47,55,60,70,74,80,88,96,98,2,,
130,524,8374,1277,15.98091603,安徽,毫州,,4,6,6,8,15,20,20,25,30,39,48,58,66,72,81,87,92,5,,
55,828,20824,1783,25.14975845,湖南,邵阳,邵阳市市辖区,2,2,8,11,19,29,36,41,49,51,55,68,74,83,86,87,89,2,,
55,828,20824,1783,25.14975845,湖南,邵阳,邵阳县,2,2,8,11,19,29,36,41,49,51,55,68,74,83,86,87,89,2,,
16,96.2,2004,672,20.83160083,湖北,潜江,潜江市,0,0,5,7,8,10,12,27,35,35,44,54,64,74,80,82,85,3,,
22,189,1711,2915,9.052910053,广东,珠海,珠海市,10,12,12,12,18,26,34,38,47,55,64,69,73,76,83,83,85,2,,
73,733,10704,2389,14.60300136,河南,商丘,商丘市市辖区,0,0,6,7,0,18,27,29,36,50,60,61,65,72,76,82,83,1,,
131,528,13590,1918,25.73863636,安徽,安庆,安庆市市辖区,4,5,8,8,14,18,18,31,43,47,55,56,80,66,71,75,78,3,,
254,843.62,6587,12820.4,7.808017828,江苏,南京,南京市市辖区,4,7,7,10,14,13,25,28,35,40,44,47,52,57,65,71,78,7,,
164,553.37,18680.42,2021.85,33.75755823,江西,宜春,宜春市市辖区,1,5,6,10,14,14,26,29,31,36,45,48,54,62,67,74,77,3,,
253,1072.17,8848.42,18597.47,8.252814386,江苏,苏州,苏州市市辖区,3,7,8,12,20,24,32,34,38,44,52,55,60,69,72,75,77,2,,
54,582,18189,3394,31.25257732,湖南,常德,常德市市辖区,3,7,12,19,26,30,37,39,42,45,50,56,62,64,66,66,72,6,,
163,981.46,39379.64,2807.24,40.12353025,江西,赣州,赣州市市辖区,2,7,7,10,16,21,27,30,34,35,42,48,52,59,64,69,71,2,,
21,791,3875,9936,4.8988622,广东,佛山,佛山市市辖区,9,10,14,18,21,25,33,39,43,45,49,49,57,59,64,67,70,3,,
60,455,8117,1540,17.83956044,湖南,娄底,娄底市市辖区,5,5,7,9,13,16,20,26,29,35,40,45,51,53,59,64,66,2,,
70,868,11959,2687,13.77764977,河南,周口,周口市市辖区,4,5,11,15,19,25,36,38,40,47,52,56,59,60,62,62,65,3,9号数据错了,
166,405,18817,1382,46.4617284,江西,抚州,抚州市市辖区,0,6,7,8,9,13,15,18,24,29,34,44,46,56,59,63,64,1,,
243,774,11968,7856.81,15.4625323,福建,福州,福州市市辖区,6,13,17,18,24,30,32,39,44,47,53,55,56,57,59,62,63,1,,
59,402,11262,2632,28.01492537,湖南,株洲,株洲市市辖区,1,3,5,7,13,18,19,22,25,26,34,38,41,46,48,58,61,3,,
59,402,11262,2632,28.01492537,湖南,株洲,株洲县,1,3,5,7,13,18,19,22,25,26,34,38,41,46,48,58,61,3,,
28,564,2199,2512,3.89893617,广东,东莞,东莞市,1,2,2,2,7,11,16,21,27,31,37,44,47,53,56,58,60,2,,
255,880,11258,6755,12.79318182,江苏,徐州,徐州市市辖区,0,0,3,8,8,15,20,23,30,36,39,45,45,49,52,56,60,4,,
137,588,15451,1219,26.27721088,安徽,六安,六安市市辖区,2,3,3,4,6,8,9,13,13,20,30,34,36,41,51,54,57,3,,
23,331,1784,3633,5.389728097,广东,中山,中山市,2,2,5,6,13,18,18,18,21,25,31,35,44,46,46,51,56,5,,
197,337,19736,831,58.56379822,北京,朝阳,,5,11,11,17,19,21,24,28,35,31,36,43,48,51,53,55,56,1,,
226,550,1210,9651,2.2,上海,浦东新区,,0,0,7,9,12,17,25,32,35,40,43,46,47,52,53,56,56,0,,
196,348,431,5943,1.238505747,北京,海淀,,6,16,17,21,23,24,27,39,41,42,45,45,47,47,49,52,54,2,,
46,556,10941,3849,19.67805755,浙江,金华,金华市市辖区,2,3,5,7,13,20,27,34,34,36,40,44,47,48,52,53,53,0,,
58,439,12144,1758,27.66287016,湖南,益阳,益阳市市辖区,4,4,7,10,14,17,20,24,27,30,35,40,41,43,44,46,53,7,,
145,939.48,11282,12001.5,12.00877081,山东,青岛,青岛市市辖区,6,8,13,15,17,21,21,21,24,26,32,35,41,44,46,49,53,4,,
24,483,11599,4103,24.01449275,广东,惠州,惠州市市辖区,7,8,8,11,12,17,20,20,23,28,29,31,35,39,47,48,52,4,,
76,520.77,7882,2135.23,15.13528045,河南,平顶山,平顶山市市辖区,1,2,5,5,5,8,10,11,14,19,28,34,41,46,48,50,52,2,,
244,290,4200,2242,14.48275862,福建,莆田,莆田市市辖区,0,1,9,14,14,17,22,25,27,34,37,38,42,44,47,47,51,4,,
244,290,4200,2242,14.48275862,福建,莆田,莆田县,0,1,9,14,14,17,22,25,27,34,37,38,42,44,47,47,51,4,,
75,579.41,8249,2526.6,14.23689615,河南,新乡,新乡市市辖区,1,3,4,6,0,11,15,21,21,27,33,39,41,41,43,44,46,2,,
75,579.41,8249,2526.6,14.23689615,河南,新乡,新乡县,1,3,4,6,0,11,15,21,21,27,33,39,41,41,43,44,46,2,,
259,493,10072,3601,20.43002028,江苏,淮安,淮安市市辖区,0,1,2,2,3,7,10,12,13,18,22,26,34,37,40,44,46,2,,
57,721,15310,3046,21.23439667,湖南,衡阳,衡阳市市辖区,3,3,4,7,17,20,25,26,30,32,35,39,43,43,43,45,45,0,,
57,721,15310,3046,21.23439667,湖南,衡阳,衡阳县,3,3,4,7,17,20,25,26,30,32,35,39,43,43,43,45,45,0,,
72,518,7413,2393,14.31081081,河南,安阳,安阳市市辖区,0,3,7,11,14,16,20,24,24,29,33,35,37,40,43,44,45,1,,
362,672.8,21473,5206.9,31.91587396,云南,昆明,昆明市市辖区,3,4,7,12,15,21,25,30,31,32,34,35,40,41,41,42,45,3,,
149,746.04,10244,7856.56,13.73116723,山东,济南,济南市市辖区,3,5,7,10,11,14,16,18,19,22,25,29,34,41,42,43,44,1,,
267,61,1919.58,595.51,31.46852459,海南,三亚,三亚市,5,8,11,14,14,14,14,15,17,18,18,22,30,34,37,41,43,2,,
146,1124,17191.2,4717.8,15.29466192,山东,临沂,临沂市市辖区,3,7,7,8,16,16,23,23,24,25,28,30,32,35,40,40,42,2,,
245,870,11014.78,9946.66,12.66066667,福建,泉州,泉州市市辖区,3,5,10,13,13,18,22,24,29,31,35,37,39,40,40,42,42,0,,
44,501,8275,5108,16.51696607,浙江,绍兴,绍兴市市辖区,4,5,6,7,19,19,23,24,27,30,30,30,33,34,36,38,41,3,,
44,501,8275,5108,16.51696607,浙江,绍兴,绍兴县,4,5,6,7,19,19,23,24,27,30,30,30,33,34,36,38,41,3,,
61,545,22441,1806,41.17614679,湖南,永州,永州市市辖区,4,4,4,7,11,14,16,18,22,26,26,30,32,38,40,40,41,1,,
256,657.45,4627.47,11438.62,7.038512434,江苏,无锡,无锡市市辖区,1,2,4,6,9,10,12,13,19,23,25,26,28,31,34,38,41,3,,
45,466,4275,4872,9.173819742,浙江,嘉兴,嘉兴市市辖区,4,8,8,11,14,16,16,18,19,19,23,27,30,35,37,38,40,2,,
56,498,27572,1513,55.36546185,湖南,怀化,怀化市市辖区,5,8,11,16,18,23,26,28,31,32,35,35,36,38,38,39,39,0,,
148,712.18,13746,7833,19.30130023,山东,烟台,烟台市市辖区,2,2,8,10,12,13,18,20,20,26,26,27,30,34,35,37,39,2,,
155,834.59,1187,4930.58,1.422255239,山东,济宁,济宁市市辖区,2,5,5,5,5,8,8,11,14,18,21,25,32,35,38,39,39,0,,
198,118,50.7,4244,0.429661017,北京,西城,,4,5,7,8,9,12,16,17,22,26,28,29,34,36,37,38,39,1,,
388,800,20593.5,7175.7,25.741875,吉林,长春,长春市市辖区,1,1,1,1,4,4,4,7,13,17,18,28,29,32,32,37,39,2,,
331,142,22483,463,158.3309859,黑龙江,双鸭山,双鸭山市市辖区,0,0,1,1,1,1,1,2,4,7,12,16,20,36,36,38,38,0,,
425,748.25,1106,14806.45,1.478115603,香港,香港,,5,5,8,8,10,10,12,13,14,15,17,18,21,25,26,29,38,9,,
156,937.3,15859,6156.8,16.91987624,山东,潍坊,潍坊市市辖区,1,2,3,3,5,7,8,9,11,13,14,16,21,27,31,36,37,1,,
213,725,22112,434,30.49931034,广西,南宁,南宁市市辖区,0,1,5,5,7,15,16,16,16,22,27,28,30,31,32,35,37,2,,
326,524.7,34873,1359.6,66.46274061,黑龙江,绥化,绥化市市辖区,1,2,3,8,8,10,12,13,14,16,22,24,29,39,44,35,37,2,,
200,156,1031,1592,6.608974359,北京,大兴,,2,3,5,7,10,10,17,20,22,28,29,29,32,34,34,35,36,1,,
147,282.56,5797,3480.1,20.5159966,山东,威海,威海市市辖区,3,4,9,10,12,14,19,24,24,25,25,27,29,31,33,34,35,1,,
212,175.42,3337,1229.84,19.02291643,广西,北海,北海市市辖区,6,9,9,11,13,15,17,23,23,26,27,29,31,31,32,33,35,2,,
263,451.84,7615,2771.7,16.85331091,江苏,连云港,连云港市市辖区,1,3,3,3,3,6,9,13,13,14,17,20,22,24,27,32,35,3,,
311,,,,,天津,宝坻区,,0,0,0,0,0,0,0,3,5,11,13,15,21,23,29,32,35,3,,
158,639.7,8715,3152.15,13.62357355,山东,聊城,聊城市市辖区,1,1,1,3,4,5,7,8,9,10,10,12,15,20,27,33,34,1,,
333,,,,,黑龙江,鸡西,鸡西市市辖区,0,0,0,0,1,1,2,4,4,6,9,12,21,29,31,34,34,0,,
174,733,12477,2006,17.0218281,四川,南充,南充市市辖区,0,2,2,4,5,9,11,16,23,26,27,28,29,30,31,32,33,1,,
260,731,8544,8427,11.6880985,江苏,南通,南通市市辖区,1,2,4,6,6,9,10,12,17,19,22,25,27,29,31,32,33,1,,
396,375.36,13100,2732.94,34.8998295,甘肃,兰州,兰州市市辖区,2,4,8,11,14,14,15,20,23,26,28,30,30,32,32,33,33,0,,
63,473,19387,2392,40.98731501,湖南,郴州,,1,3,6,7,7,10,12,13,18,21,22,24,25,29,31,32,32,0,,
150,581,10356,3380.3,17.82444062,山东,德州,德州市市辖区,1,3,6,8,11,15,16,17,19,19,19,24,26,27,29,30,32,2,,
350,338,16391,1448,48.49408284,山西,晋中,晋中市市辖区,0,2,2,5,9,9,9,11,13,15,19,21,26,27,30,32,32,0,,
62,284,5006,2056,17.62676056,湖南,湘潭,湘潭市市辖区,2,3,4,6,8,9,10,13,16,19,21,23,24,25,28,28,31,3,,
62,284,5006,2056,17.62676056,湖南,湘潭,湘潭县,2,3,4,6,8,9,10,13,16,19,21,23,24,25,28,28,31,3,,
81,444,4996,2831,11.25225225,河南,许昌,许昌市市辖区,0,0,1,2,2,3,8,12,13,15,19,24,26,28,30,31,31,0,,
81,444,4996,2831,11.25225225,河南,许昌,许昌县,0,0,1,2,2,3,8,12,13,15,19,24,26,28,30,31,31,0,,
132,234,4049,1918,17.3034188,安徽,马鞍山,马鞍山市市辖区,4,7,7,10,11,14,14,22,27,28,28,30,30,30,31,31,31,0,,
135,568,9787,1630,17.2306338,安徽,宿州,宿州市市辖区,0,2,3,3,9,10,10,12,14,21,23,24,25,27,28,28,31,3,,
159,564,7761,3652,13.7606383,山东,泰安,泰安市市辖区,0,0,0,1,3,3,4,6,9,12,12,14,18,20,20,24,31,7,,
257,472.9,4375,7050.3,9.251427363,江苏,常州,常州市市辖区,5,5,6,8,8,10,13,14,15,15,19,24,27,29,31,31,31,0,,
258,505,5787,4740,11.45940594,江苏,泰州,泰州市市辖区,0,1,2,4,8,9,12,17,17,21,23,26,28,29,30,30,31,1,,
74,284,2617,1237,9.214788732,河南,漯河,漯河市市辖区,0,3,6,9,9,11,13,14,16,20,23,24,26,26,29,30,30,0,,
133,370,6026,3279,16.28648649,安徽,芜湖,芜湖市市辖区,1,3,6,9,11,14,14,15,16,16,21,23,26,27,29,29,30,1,,
133,370,6026,3279,16.28648649,安徽,芜湖,芜湖县,1,3,6,9,11,14,14,15,16,16,21,23,26,27,29,29,30,1,,
201,211,306,1551,1.450236967,北京,丰台,,2,4,4,7,8,10,11,16,16,17,18,20,20,22,26,27,30,3,,
211,534.08,27800,2045.18,52.05212702,广西,桂林,桂林市市辖区,6,11,14,15,16,18,18,21,23,24,24,26,27,28,29,29,30,1,,
329,530,42500,1340,80.18867925,黑龙江,齐齐哈尔,齐齐哈尔市市辖区,0,1,1,2,3,3,3,3,3,6,6,20,26,27,27,27,30,3,,
175,325,6339.22,1250.2,19.50529231,四川,广安,广安市市辖区,2,2,6,7,7,9,13,16,20,21,24,24,24,27,28,28,28,0,,
178,690,16591,1583.9,24.04492754,四川,达州,达州市市辖区,1,1,3,3,4,6,8,9,9,11,13,17,20,23,25,25,28,3,,
249,411,1699.39,4791.41,4.134768856,福建,厦门,厦门市,3,4,4,5,6,7,13,17,18,19,20,21,21,23,25,25,28,3,,
269,230.23,3146,1510.51,13.66459627,海南,海口,海口市,3,3,6,7,9,9,9,11,11,13,14,16,16,21,23,23,28,5,,
340,758.6,14000,3676.4,18.45504877,河北,沧州,沧州市市辖区,2,2,2,5,8,12,18,19,19,19,20,20,21,23,28,28,28,0,,
345,794,13472,6955,16.96725441,河北,唐山,唐山市市辖区,0,0,0,1,3,2,7,8,11,11,11,12,17,19,23,27,28,1,,
408,225.06,9025.38,1803.17,40.10210611,宁夏,银川,银川市市辖区,1,2,5,7,7,9,11,15,16,19,20,20,25,27,29,28,28,0,,
80,713.67,15230,4640.8,21.34039542,河南,洛阳,洛阳市市辖区,1,1,2,2,2,2,3,5,7,7,12,17,21,24,25,25,27,2,,
342,953,12074,3455,12.66946485,河北,邯郸市,,0,2,2,4,4,6,7,10,11,11,14,14,18,22,26,27,27,0,,
378,488.19,8034,3798.45,16.45670743,贵州,贵阳,贵阳市市辖区,1,1,1,1,1,1,4,4,6,7,10,12,15,18,18,24,27,3,,
283,831.6,13000,6292.4,15.63251563,辽宁,沈阳,沈阳市市辖区,5,6,7,8,9,9,10,13,17,15,15,18,23,25,26,26,26,0,,
341,1169.05,22190,3589.8,18.98122407,河北,保定,保定市市辖区,1,3,3,3,6,7,11,11,13,13,13,17,17,18,18,21,26,5,,
27,564,2199,2512,3.89893617,广东,汕头,汕头市市辖区,1,2,2,5,8,12,12,14,15,18,18,20,21,22,25,25,25,0,,
82,355,4071,2372,11.46760563,河南,焦作,焦作市市辖区,0,0,0,2,2,2,2,2,7,8,12,15,17,18,20,24,25,1,,
134,163,3008,1222,18.45398773,安徽,铜陵,铜陵市市辖区,3,3,3,9,9,10,14,16,16,18,19,19,20,22,23,24,25,1,,
134,163,3008,1222,18.45398773,安徽,铜陵,铜陵县,3,3,3,9,9,10,14,16,16,18,19,19,20,22,23,24,25,1,,
169,193.32,3823.99,1009.5,19.7806228,江西,萍乡,萍乡市市辖区,1,2,2,2,2,5,8,9,15,18,20,22,23,24,24,24,25,1,,
338,1095.16,14464,6082.6,13.2072026,河北,石家庄,石家庄市市辖区,4,5,7,9,10,11,11,12,13,16,21,21,24,24,24,24,25,1,,
79,456,6266,2002,13.74122807,河南,开封,开封市市辖区,0,0,0,2,3,4,6,8,11,11,12,17,18,20,21,24,24,0,,
79,456,6266,2002,13.74122807,河南,开封,开封县,0,0,0,2,3,4,6,8,11,11,12,17,18,20,21,24,24,0,,
95,88.5,221,1028,2.497175141,重庆,江北区,,0,2,3,4,5,8,8,12,13,16,16,16,18,19,20,23,24,1,,
247,291,13452,1942.8,46.22680412,福建,宁德,宁德市市辖区,2,3,6,6,7,8,9,9,9,12,12,14,16,16,21,23,24,1,,
339,480,6429,3108,13.39375,河北,廊坊,廊坊市市辖区,0,0,2,6,9,9,9,11,11,12,12,13,14,15,20,22,24,2,,
141,223,2732,970,12.25112108,安徽,淮北,淮北市市辖区,0,1,1,2,2,2,2,6,6,8,11,14,17,22,22,23,23,0,,
142,346,5571,1100,16.10115607,安徽,淮南,淮南市市辖区,0,1,2,2,2,6,6,6,6,7,8,12,12,14,21,22,23,1,,
185,116,1530002,262,13189.67241,四川,甘孜,甘孜县,0,2,2,3,3,5,5,5,5,6,8,10,12,17,17,17,23,6,,
180,,,,,四川,巴中,巴中市市辖区,0,0,0,0,2,4,5,8,8,12,12,15,19,20,21,21,22,1,,
214,404.17,18618,3053.65,46.06477472,广西,柳州,柳州市市辖区,3,5,6,6,6,10,11,12,12,14,15,17,20,20,20,20,22,2,,
298,265.6,23391,947.66,88.0685241,陕西,安康,安康市市辖区,3,3,7,8,10,10,13,14,16,17,17,19,21,21,21,21,22,1,,
26,733,13225,3008,18.04229195,广东,湛江,湛江市市辖区,2,4,5,5,9,11,11,13,14,14,18,18,19,20,20,21,21,0,,
152,393,4563,2402,11.61068702,山东,枣庄,枣庄市市辖区,0,0,2,5,8,9,9,12,15,16,16,17,17,19,20,21,21,0,,
176,485.7,20248.4,2856.2,41.6891085,四川,绵阳,绵阳市市辖区,2,5,7,8,8,9,11,12,14,17,17,17,18,19,20,20,21,1,,
215,429.87,33500,734.6,77.93053714,广西,河池,河池市,3,3,3,3,4,5,6,6,6,6,8,9,11,11,15,19,21,2,,
299,381,27246,1548,71.51181102,陕西,汉中,汉中市市辖区,0,1,3,4,6,6,11,13,15,15,16,19,20,21,21,21,21,0,,
343,737,12400,2151,16.82496608,河北,邢台,邢台市市辖区,0,0,1,2,3,5,7,10,10,14,16,16,19,20,21,21,21,0,,
343,737,12400,2151,16.82496608,河北,邢台,邢台县,0,0,1,2,3,5,7,10,10,14,16,16,19,20,21,21,21,0,,
384,,,,,贵州,毕节,毕节市,0,0,0,0,1,1,3,3,4,4,9,11,13,17,21,21,21,0,,
37,,,,,广东,江门,江门市市辖区,0,0,0,0,1,1,2,3,3,4,6,7,9,14,15,19,20,1,,
91,122,432,1130,3.540983607,重庆,九龙坡区,,3,3,4,5,5,5,8,9,11,13,15,19,19,19,19,19,20,1,,
94,91,3649,213,40.0989011,重庆,云阳,云阳县,2,4,8,10,11,13,15,18,18,18,18,18,19,20,20,20,20,0,,
96,,,,,重庆,渝中区,,0,0,0,0,1,5,6,7,9,9,13,16,18,19,20,20,20,0,,
97,69,1518,224,22,重庆,垫江,垫江县,2,2,4,5,5,8,8,11,12,13,13,15,17,17,18,19,20,1,,
415,351,14216,3099.77,40.5014245,新疆,乌鲁木齐,乌鲁木齐市市辖区,3,3,4,5,6,7,8,8,8,24,12,12,15,18,19,20,20,0,,
415,351,14216,3099.77,40.5014245,新疆,乌鲁木齐,乌鲁木齐县,3,3,4,5,6,7,8,8,8,24,12,12,15,18,19,20,20,0,,
382,,,,,贵州,遵义,遵义市市辖区,0,0,0,0,1,1,4,4,5,8,9,9,11,12,15,15,19,4,,
382,,,,,贵州,遵义,遵义县,0,0,0,0,1,1,4,4,5,8,9,9,11,12,15,15,19,4,,
92,102,2187,308,21.44117647,重庆,忠县,,3,5,6,9,11,12,12,12,15,15,15,15,15,16,16,18,18,0,,
93,1811,3959,473,2.186085036,重庆,开州区,,4,4,7,9,11,14,16,16,16,17,18,18,18,18,18,18,18,0,,
168,495.66,25300,1663.47,51.04305371,江西,吉安,吉安市市辖区,1,1,3,3,4,5,8,11,12,13,15,15,15,16,17,17,18,1,,
168,495.66,25300,1663.47,51.04305371,江西,吉安,吉安县,1,1,3,3,4,5,8,11,12,13,15,15,15,16,17,17,18,1,,
199,211,1352,902,6.407582938,北京,昌平,,3,7,7,7,8,8,12,12,12,13,14,15,15,17,17,17,18,1,,
227,190,294,161,1.547368421,上海,宝山区,,0,0,1,1,2,2,2,8,8,10,12,12,15,16,17,17,18,1,,
250,321,26300,1340,81.93146417,福建,南平,南平市市辖区,0,1,2,3,3,3,3,8,8,11,11,12,12,12,14,16,18,2,,
261,824.7,16931,5487.1,20.52988966,江苏,盐城,盐城市市辖区,1,1,1,1,6,6,8,13,15,15,15,15,16,16,17,17,18,1,,
264,453.1,6634,5466.17,14.64135952,江苏,扬州,扬州市市辖区,1,1,4,5,8,8,8,13,13,14,15,15,15,17,17,18,18,0,,
352,535.97,14233,1509.6,26.5555908,山西,运城,运城市市辖区,2,2,2,3,4,7,8,10,10,13,16,17,17,17,17,18,18,0,,
427,2358,36193,39000,15.3490246,台湾,台湾,,3,4,5,5,8,9,10,10,10,10,10,11,13,16,17,18,18,0,,
49,219,17275,1298,78.88127854,浙江,丽水,丽水市市辖区,0,3,3,5,6,6,7,8,14,16,16,16,16,16,17,17,17,0,,
77,163,2182,862,13.38650307,河南,鹤壁,鹤壁市市辖区,0,0,2,2,5,6,6,6,8,8,10,10,10,11,13,17,17,0,,
105,153,2356,713,15.39869281,重庆,合川区,,2,2,3,4,5,6,6,8,9,9,9,9,15,16,16,17,17,0,,
157,471,5965,5068,12.66454352,山东,淄博,淄博市市辖区,0,1,2,2,4,8,9,10,12,12,12,14,14,15,15,16,17,1,,
177,411.77,5385,1411.75,13.077689,四川,内江,内江市市辖区,1,1,1,3,4,4,6,10,11,12,15,15,16,17,17,17,17,0,,
183,509.58,12232.4,1596.21,24.00486675,四川,泸州,泸州市市辖区,1,2,3,4,5,5,5,5,6,7,9,10,12,13,13,16,17,1,,
216,92.9,6173,741.62,66.44779333,广西,防城港,防城港市市辖区,2,2,3,3,5,5,7,8,8,9,11,13,15,15,16,16,17,1,,
234,253,372,297,1.470355731,上海,闵行区,,0,0,2,2,2,4,5,7,9,10,10,12,12,12,14,14,17,3,,
300,436.61,9543.6,2376.45,21.85840911,陕西,咸阳,咸阳市市辖区,2,3,4,4,5,5,6,8,9,9,11,15,15,15,16,16,17,1,,
